id,heduc,heblack,mixed,years,div,agediff
9,15-Dec,0,0,10.546,0,Peer
11,<12,0,0,34.943,0,Peer
13,<12,0,0,2.834,1,Peer
15,<12,0,0,17.532,1,Peer
33,15-Dec,0,0,1.418,0,Peer
36,<12,0,0,48.033,0,Peer
43,>15,0,0,16.706,0,Peer
47,<12,0,0,24.999,0,OlderHusband
50,<12,0,0,24.999,0,OlderHusband
56,<12,1,0,3.869,0,OlderHusband
63,15-Dec,1,0,7.732,0,Peer
66,15-Dec,0,0,5.2105,1,Peer
70,15-Dec,0,0,15.444,0,Peer
77,>15,0,0,4.085,0,Peer
80,<12,0,0,17.333,0,Peer
84,15-Dec,0,0,16.331,0,OlderHusband
87,15-Dec,0,0,35.335,0,Peer
90,<12,0,0,37.67,0,Peer
91,15-Dec,0,0,19.1865,1,Peer
94,15-Dec,0,0,22.697,0,Peer
109,<12,0,0,50.776,0,OlderHusband
111,<12,0,0,37.495,0,Peer
114,<12,0,0,30.738,0,OlderHusband
116,<12,0,0,48.654,0,Peer
118,<12,0,0,33.024,0,Peer
120,<12,0,0,36.668,0,OlderHusband
122,>15,0,0,27.992,0,Peer
124,>15,0,0,27.789,0,Peer
128,15-Dec,0,0,3.2525,1,Peer
129,15-Dec,0,0,5.67,1,Peer
137,<12,0,0,17.999,0,OlderHusband
139,<12,0,0,7.5975,1,Peer
141,<12,0,0,1.791,0,OlderHusband
145,<12,0,0,2.475,0,OlderHusband
148,15-Dec,0,0,35.959,0,Peer
153,15-Dec,0,0,13.136,0,Peer
160,15-Dec,0,0,5.717,0,Peer
162,15-Dec,0,0,5.717,0,Peer
164,15-Dec,0,0,26.278,0,Peer
165,15-Dec,0,0,4.331,1,Peer
166,<12,0,0,8.893,0,OlderWife
170,15-Dec,0,0,15.743,0,Peer
183,<12,0,0,4.671,1,OlderHusband
194,<12,0,0,48.356,0,OlderHusband
196,<12,0,0,39.332,0,OlderHusband
199,<12,0,0,39.332,0,OlderHusband
212,15-Dec,0,0,61.525,0,OlderHusband
214,15-Dec,0,0,12.999,0,Peer
219,15-Dec,0,0,14.817,0,Peer
221,<12,0,0,33.755,1,Peer
223,<12,0,0,56.999,0,Peer
226,15-Dec,0,0,3.606,0,OlderHusband
228,<12,0,0,3.606,0,OlderHusband
230,<12,1,0,16.999,0,Peer
232,<12,1,0,42.015,1,Peer
234,15-Dec,0,0,37.837,0,Peer
237,15-Dec,1,0,18.16,0,Peer
245,15-Dec,0,0,18.018,0,Peer
254,15-Dec,0,0,13.667,1,OlderHusband
258,15-Dec,0,0,3.584,1,OlderHusband
264,<12,0,0,2.502,1,Peer
268,>15,0,0,14.7135,1,Peer
271,<12,0,0,35.932,0,OlderHusband
275,>15,0,0,13.864,0,Peer
280,15-Dec,0,0,25.8015,1,OlderHusband
